conversation,true_label,pred_label
이번에 승마대회에 나가는데 말이 필요해요. [SEP] 말이요? 어떤 말이면 될까요? 실장님? [SEP] 우리 딸이 탈거니까 제주도에서 나고 자란 최고급 말로 부탁해요. [SEP] 알겠습니다. 그런데 저희 회사에 돈이 좀 부족해서 그런데 언제까지 마련하면 될까요? [SEP] 김 대표. 요즘 배가 많이 부른가봐? [SEP] 네? 아닙니다. 제가 말 실수를 했습니다. [SEP] 알면 됐어. 이달 말까지 부탁해. [SEP] 네. 알겠습니다. 더 필요한 것은 없으세요? [SEP] 다른 건 괜찮아. [SEP] 네.,갈취 대화,직장 내 괴롭힘 대화
니가 내책가져갓냐 [SEP] 잠깐 빌려 간거야 [SEP] 그럼 말을 하고 빌려가던가 [SEP] 잠깐 보고 냅둘랴고 했어 [SEP] 근데 왜 아직 들고 잇냐 [SEP] 책하나 가지고 왜그러냐 [SEP] 당장 내놔라 [SEP] 아직 덜 봣어 다보고 줄게 [SEP] 죽고 싶냐 당장 내놔라 [SEP] 너 협박죄로 고소할꺼야,협박 대화,갈취 대화
지우야 너 카톡계정 있지? 그것좀 빌려주라. [SEP] 네 근데 왜요? [SEP] 내가 계정이 정지됐는데 비밀번호를 까먹었어 [SEP] 그거 비번 재설정하면 되지 않아요? [SEP] 아 내가 몰라서 묻는거 같아? 여러번 했는데 안되서 너한테 물어보는거잖아. [SEP] 다른애들한테 부탁하면 안될까요? [SEP] 너 안빌려주면 죽는다. [SEP] 제발요 [SEP] 너 형이 잘해주니까 무시하냐? 야이 [SEP] 네,기타 괴롭힘 대화,갈취 대화
야 빵좀 사와 [SEP] 미안해 나영아 나 오늘은 돈이 없어 [SEP] 아니 이 미친놈이 그럼 다른 애들 삥 뜯어서라도 구해와 [SEP] 아니 내가 어떡해 그렇게 하니 [SEP] 이 새끼가 대들어? 그럼 빵을 훔쳐서라도 오라고 미친것아 [SEP] 너 이상해 도대체 왜 그러는거야 [SEP] 아니 이 미친것이 우리가 우습나 그냥 니가 만만하니까 그런거지 [SEP] 아 아 그렇구나 [SEP] 아 아 그렇구나 그런식으로 말만 하지말고 빨리 사와 쓰레기야,기타 괴롭힘 대화,갈취 대화
야 너 [SEP] 저요.? [SEP] 그래 일로와바 [SEP] 네. [SEP] 왜 선배보고 인사 안하지? [SEP] 죄송합니다. [SEP] 내가 약해보이는구나 한번 혼좀 나볼까? [SEP] 니요. 죄송합니다 [SEP] 죄송하면 다야? 재수가 없으려니까 내가 171 로 애새끼들 넉다운 시킨 사람이야 너도 두개골 깨지고 싶냐? [SEP] 죄송합니다 선배님,협박 대화,직장 내 괴롭힘 대화
이거 도와주세요. [SEP] 난 지금 바빠서 도와줄 시간이 없어. [SEP] 넌 바쁠 때 항상 바쁜척 하더라 [SEP] 바쁜척 하는 게 아니라 실제로 바빠. [SEP] 지금까지 놀다가 바쁜척 하는 거 알아 [SEP] 진짜 바쁘다니까. 내 말을 뭘로 알아 [SEP] 니가 평상시에 하는 행동을 보면 매번 그렇더라 [SEP] 니가 미쳤군. 사람 말을 못믿는 걸 보면 [SEP] 너야 말로 진짜 미친 놈이야. [SEP] 넌 이성을 잃었여. 평상시도 제정신이 아니었지만.,협박 대화,기타 괴롭힘 대화
어이 코털 [SEP] 왜 [SEP] 왜? 아놔됐고 너 매점가서 곰보빵 두개에 콜라하나 사와라 [SEP] 나 돈없어 [SEP] 돈없어? 그럼 내가 돈줄께 [SEP] 어 [SEP] 여기 1000원 줄테니까 빵두개 콜라하나 사고 거스름돈 거슬러와라 [SEP] 야 택도없어 [SEP] 야 뒤질래? 쌔벼서라도 갖고와 색키야 [SEP] 야,기타 괴롭힘 대화,갈취 대화
사퇴하시죠. [SEP] 무슨 소립니까? [SEP] 의원님이 뇌물을 받으신 거 다 알고 있습니다. [SEP] 나 윤석룔 정치인생 30년 양심에 걸릴 게 없는 사람이오! [SEP] 입에 침이나 바르시고 말씀하시지요. [SEP] 어디 감히.! [SEP] 증거가 있습니다. 배려해 드릴 때 스스로 물러나십시오. [SEP] 증거가 있다니! 어디서 생 사람 잡는 소리를 합니까! [SEP] 저는 분명히 기회를 드렸습니다. 내일 아침까지 발표를 하지 않으신다면 증거 자료를 인터넷에 뿌리겠습니다. [SEP] 꺼져! 꺼지라고!,기타 괴롭힘 대화,협박 대화
너 언제부터 휠체어 타고 다녔냐? [SEP] 나 어려서부터 [SEP] 그럼 니 부모님이 너 그렇게 태어나게 한거야? [SEP] 몰라. [SEP] 니 부모님도 다리 못쓰시니? [SEP] 아니야. 제발 그만해. [SEP] 넘어뜨려 버리기 ! [SEP] 으악! [SEP] 언제까지 이렇게 살거야 혼자 일어날수 있어야지! [SEP] 으흑.제발. 살려줘.,기타 괴롭힘 대화,협박 대화
어머 '나' 야 너 아직도 취직 안하고 공부중이야? [SEP] 어. 일차는 붙고 이제 이차만 남았어. [SEP] 그래 근데 그것도 붙어야 붙는거지 워낙 2차에 다들 떨어지니까.아직도 못 한거 면 좀 힘든거 아닌가? [SEP] 너 왜그래 열심히 하고 있는애한테. [SEP] 아니 막말로 우리 중에 쟤말고는 다 합격해서 지금 일하고있는데 몇년째야. [SEP] 아 그렇긴 하지 요번엔 될꺼야. [SEP] 괜찮아 기죽지마 [SEP] 그래 [SEP] 글쎄 요번이라고 되란 법 있나 몰라 [SEP] 야! 그만좀해 매년 넌는 재를 못잡아 먹어서 안달이야!,기타 괴롭힘 대화,직장 내 괴롭힘 대화
아저씨 저 담배하나만 사다주세요 [SEP] 아니 학생 담배는 몸에 안좋아 [SEP] 아저씨가 무슨상관이에요? 부모라도 돼? [SEP] 생각하고 하는 말이라 그래 [SEP] 아 됐고 안사줄거면 됐어요 [SEP] 학생 [SEP] 아진짜 짜증나게 어딜잡아요? 안사줄꺼면 꺼지라고 [SEP] 학생 그러면 안돼 [SEP] 안되긴 뭐가 안돼? 아저씨가 내 인생 살아줄거야? 염병 기분나쁘니까 꺼지라고 한대 맞아야 정신차릴거에요? [SEP] 학생 나중에 후회해 그래서 하는 말이야 [SEP] 아주 그냥 성자 나셨네 성자 두번 말안해 안사줄꺼면 꺼져 쳐맞기 싫으면,협박 대화,기타 괴롭힘 대화
야 머하냐? [SEP] 학원가려고. [SEP] 돈 좀 있냐? [SEP] 아니 없어. [SEP] 야 니가 머가 없어 니 손에 든건 머냐? [SEP] 내 밥이야. [SEP] 돈이 없으면 니 밥이라도 줘야지 [SEP] 싫어. [SEP] 머 싫어? 이게 죽고싶나 [SEP] 아니. 너 돈 있잖아. 그걸로 사먹어.,협박 대화,갈취 대화
여보세요 ? 누구세요 ? [SEP] 나야. 수철이. [SEP] 김수철? [SEP] 어. 이제서야 전화 받는구나. [SEP] 그야 니가 하루에 몇십통씩 계속 전화하니까 그렇지. 근데 이 번호는 또 뭐야? [SEP] 니가 내 전화 피하는 거 같아서 친구 핸드폰으로 하는거야. [SEP] 너 진짜 무서운 애구나. 나한테 왜 그러는건데? [SEP] 니가 내 전화만 안피했어도 이렇게 안해. [SEP] 제발 내 시간 좀 방해하지마. 숨막혀. 끊는다. [SEP] 앞으로 내 전화 바로바로 안받으면 앞으로는 더 심하게 할거니까. 잘 받아라.,기타 괴롭힘 대화,협박 대화
학생 길가에서 담배를 피면 어떡해? [SEP] 아저씨가 뭔데요? [SEP] 그냥 지나가다가 연기가 너무 심하니깐 그렇지. [SEP] 그냥 가던길 가세요 죽기 싫으면. [SEP] 학생 참 말하는 싸가지가 없구만 [SEP] 아저씨 제가 싸가지가 있던 없던 죽기 싫으면 갈 길 가시라구요. [SEP] 넌 부모님도 안계시냐? [SEP] 없는데 어쩌라고? 부모가 밥먹여줘? 담배를 사줘? [SEP] 아휴 요즘 젊은 것들이란. [SEP] 저 노인이 뒤져볼라고 환장했나?,협박 대화,기타 괴롭힘 대화
아 진짜 짜증나게하네 [SEP] 너 그냥 맞자 [SEP] 내가 뭘했는데 왜그래 [SEP] 일단 맞으면 알겠지 [SEP] 제발 무리한 것좀 시키지마 [SEP] 이게 무리하다고? 지금까지 잘했잖아 우쭈쭈 [SEP] 야 얘 동생있잖아 그 학교 다니는 [SEP] 아 걔가 얘 동생이야? [SEP] 제발 동생은 냅 둬 건들지마 제발 [SEP] 너 하는 거 봐서,협박 대화,기타 괴롭힘 대화
친구야 이따 시험때 답좀 슬쩍 보여주라. [SEP] 그건 어려울것 같은데. [SEP] 와.친구사이에 이러기냐? [SEP] 미안. 걸리면 0점이잖아. [SEP] 그러면 너 지난번에 과제 내꺼 베껴서 제출한거 내가 조교님께 말한다? [SEP] 아니 그건 지난일인데 왜 이제와서 말해. [SEP] 지금이라도 말하면 너 점수깍일걸? 생각 잘해라. [SEP] 하. 그래도 시험컨닝은 좀. [SEP] 그래 그럼 나는 지금 조교님한테 간다. [SEP] 알았어 보여주면 되잖아.,협박 대화,기타 괴롭힘 대화
대체 제게 왜 그러세요 ? [SEP] 순이씨가 좋아서 그렇죠 [SEP] 왜 그러세요 불쾌 합니다 [SEP] 좋아서 그래요 [SEP] 자꾸 쫓아다니시면 저는 너무 힘들어요 [SEP] 내일도 올게요 이시간에요 [SEP] 절대 오지 마세요 [SEP] 그건 제마음입니다 [SEP] 괴롭히지 마세요 [SEP] 저는 기다릴겁니다,기타 괴롭힘 대화,협박 대화
파일 잘 숨겼지? [SEP] 예 그럼요. 경찰들 찾기 어려울겁니다 [SEP] 그래. 어디에 숨겼어? [SEP] 하하 그걸 말하면 안되죠. 위에서 저만 알고 있으라는 지시가 있었는데요 [SEP] 씁 이사람아 내가 알아야 비상시에 협조를 할거 아닌가. [SEP] 이상하십니다? 윗선에서 내려온 지신데 따르시지 않고. 혹시 캥기는거 있으십니까? [SEP] 난 말이야 알아도 모른척 모르면 더 모른척 하는 사람 좋아해. 승진에 관심이 없나봐? [SEP] 예? [SEP] 이번 승진 내 입김 센 거 알지? 특히 내 평가로 승진여부 갈릴 수 있다는거 아나? [SEP] 아. 그럼 제가 알려드린 거 아닙니다. 전 모르는 일이에요. [SEP] 그래 알겠어 이번에 승진 기대해!,갈취 대화,직장 내 괴롭힘 대화
당신 딸을 내가 데리고있다. [SEP] 원하는게 뭐죠? [SEP] 당장 일억을 준비해서 내가원하는장소로 가져와. [SEP] 시키는대로 할게요.제 딸은 무사한거죠? [SEP] 신고하면 바로 죽일수있다.명심해. [SEP] 네. 딸 목소리만이라도 들려주세요. [SEP] 헛튼 수작부리지말고 돈이나 준비해 [SEP] 네 알겠어요.시간을좀 주세요 [SEP] 시간은 한시간이다.더이상은안돼. [SEP] 알겠으니 딸목숨만은.,갈취 대화,협박 대화
저기요 아저씨. [SEP] 누구? 나 말하는 건가? [SEP] 네 아저씨 말하는 거예요. [SEP] 나 아저씨 아닌데. 왜? [SEP] 편의점에서 담배 좀 사다주세요. 돈 줄게요. [SEP] 학생 아니야? 담배 피면 안되지. [SEP] 학생이든 아니든 무슨 상관인데요. 돈 준다니까요. [SEP] 안돼 미성년자는 담배 피면 안돼. [SEP] 아 나 좋은 말로 하려했는데 꼭 칼로 협박해야겠어? [SEP] 칼이라니. 그거 내려놔!,협박 대화,갈취 대화
아니 아이가 헛걸음하게 만들면 어떡해요! 제가 종이에 분명 적은대로 주셨으면 되는데! [SEP] 아이가 종이를 보여주지않았어요. [SEP] 씨씨티비 돌려봐요!그러면! [SEP] 아니요 어머님. 소리지르지마시고 제가 잘못했습니다. 그러면 제가 아이 오게하지마시고 직접 차 타고 가져다드릴게요. 주소가 어떻게 되세요. [SEP] 저 지금 백화점에 있으니까 거기로오세요. [SEP] 네. 그러면 제가 30분내로 갈테니까 조금만 기다리세요. [SEP] 아휴 이런식으로 일하는 사람이 어디있어. [SEP] 어머님 죄송합니다,기타 괴롭힘 대화,갈취 대화
선생님 이 친구가 제 인격모독을 하고 다른 사람에게 자꾸 저에게 거짓 누설을 합니다. [SEP] 그래서 [SEP] 그 친구한테 잘 이야기를 해서 같이 화해 하고 싶어요 [SEP] 알겠다. [SEP] 네 무슨 일이시죠 선생님? [SEP] 야 새끼야 너 이 새끼에게 거짓 누설을 하면 어떡하냐 양아치 같은 놈아 [SEP] 네 저 아무짓도 안했는데 아 이 새끼가 그런식으로 말했어요? [SEP] 선생님 저 그런식으로 한적이. [SEP] 야 이 양아치야 너 예 한테 빨리 사죄해 [SEP] 아 예 선생님 아주 잘 알겠습니다. 야 미안하다 우리 학교끝나고 옥상에서 화해 더 하자 [SEP] 앞으로 둘이서 잘해라,기타 괴롭힘 대화,협박 대화
야 한수민! 너 엄마가 얘네 덕질 할 시간에 공부하라고 했어 안 했어? [SEP] 엄마 나 엄마가 그 말 하고나서 몇 달동안 아무것도 안 사고 도 안 들어가려고 노력했어 뭐가문제인데. [SEP] 방에 붙어있는 포스터나 떼고 말해. 너 그러니까 니가 다른 애들보다 뒤쳐지는거야 몰라? [SEP] 내가 뭐가 뒤쳐져. 나도 열심히 노력하고 있는데 왜 그렇게 얘기하는데. [SEP] 니가 뭘 노력해. 말만 노력 노력 성적도 못 올리고 니한테 들어가는 돈이 얼마야 먹어주고 재워주는것도 아까워 죽겠네 [SEP] 뭐라고 엄마.? 어떻게 말을 그렇게 심하게 해? 나 엄마딸도 아니야? [SEP] 차라리 아니면 좋겠어. 니가 그렇게 멍청하니까 내가 얼굴을 들고 살 수가 없다. 너 이번에도 시험 2문제 틀렸다며 [SEP] 2문제면 그래도 1등급이야. 그리고 이번 시험 어려워서 100점 맞은 애들도 드물어. [SEP] 어오 됐다 됐어 니가 허구한 날 이런애들만 바라보고 있으니 너 시험점수가 그따위인거야 [SEP] 너 얘네 굿즈 다 가져와 가져다 팔아버리든 쓰레기통에 버리든 해야지 [SEP] 아 엄마 미안해. 다음에는 더 잘할게 한 번만 봐줘 제발 [SEP] 웃기는 소리 하지 마. 너 때문에 살기 쪽팔려 죽겠으니까 좋은말할 때 빨리 가져와 다 가져와.,기타 괴롭힘 대화,갈취 대화
다시 말해 보세요. [SEP] 네? [SEP] 다시 말해 보시라고요. [SEP] 안녕히 가십시오 손님.이렇게요? [SEP] 왜 무슨 기분 나쁜 일 있어요? 왜 목소리에 힘을 주고 그래요? 기분 나쁘게! [SEP] ? 무슨 말씀이신지. [SEP] 이를 악 물고 말하면 그게 안녕히 가라는 소리에요? 가다 차에 치어 죽으라는 소리지? [SEP] 죄송합니다. 그런 의도는 전혀 아니었습니다. [SEP] 아 정말 기분 나빠. 여기는 직원 교육을 어떻게 하는 거야? [SEP] 다시 한번 사과 드립니다. 그런데 정말 그런 게 아닙니다.,기타 괴롭힘 대화,직장 내 괴롭힘 대화
야.좋은말로 할때 에 있는 사진 내려 [SEP] 싫은데? [SEP] 안내려?맞고싶어? [SEP] 아니요. [SEP] 맞고내릴꺼냐?안맞고 내릴꺼냐? [SEP] 안맞고 내릴께 [SEP] 안내려?어 안내리냐고 안맞고 내린다며? [SEP] 내가 왜? [SEP] 이게 아주 맞을려고 작정했구나? [SEP] 아.니.요.내릴께요.,협박 대화,기타 괴롭힘 대화
돈 언제 갚을거야? [SEP] 곧 갚겠습니다. [SEP] 아이씨 그 말만 몇번째야?!?! [SEP] 죄송합니다.그치만 지금 당장은. [SEP] 야 시끄럽고 돈 없으면 장기 하나 팔아 [SEP] 네?무슨 말씀이세요. [SEP] 돈 없으면 장기하나 팔라고! 너가 빌린돈 갚으러면 신장둘다 떼면 되겠다 [SEP] 그거 다 떼면 죽는거 아닌가요? [SEP] 내 알바야? 꼬우면 갚던가 [SEP] 곧 갚겠습니다.살려주세요 [SEP] 형님한테 전화한다,협박 대화,갈취 대화
너 쉬는 시간에 공부하냐 [SEP] 응. [SEP] 모범생인 척 하지마. [SEP] 아니야. [SEP] 이제는 겸손한 척 하네 됐고 매점에서 빵이나 사와. [SEP] 그걸 왜 나한테 그래. [SEP] 뭐? 해보자는 거냐? 그런거지? 그치? [SEP] 아니야. 그럼 빵 값은? [SEP] 그건 내 알바 아니지? [SEP] 알았어.,갈취 대화,기타 괴롭힘 대화
야 이것좀 빌리자 [SEP] 안돼. 전에 가져갔던 무선이어폰도 안주고 있잖아 [SEP] 그건 내가 쓰고 있는데 고장나면 줄께 걱정마 [SEP] 너 자꾸 이럼 신고할거야 [SEP] 친구끼리 왜 이래 잠시 빌려쓰는데 [SEP] 빌리는거냐 가져가서 안주는거지 [SEP] 너 맞은지 좀 된것같다 좀있다볼까 우리 [SEP] 난 예전에 내가 아니야 인터넷에 니가했던 나쁜짓 다 올려버려서 널 폭로할거야 [SEP] 야야 장난이야 뭘그리 겁을 먹냐 이어폰 가져가 소리 잘나오네 비싼게 역시 달라,기타 괴롭힘 대화,갈취 대화
그만 만나자 나 머무 지쳤어 [SEP] 나 미치는 꼴 보고 싶어서 그래? 내가 죽어야 너가 정신차리지? [SEP] 나 정말 너무 힘들어서 그래 그만하자 [SEP] 내가 잘못되면 다 너때문인줄 알아. [SEP] 왜그러는거야. [SEP] 내가 그냥하는 말 같아? 나 지금 옥상이야. [SEP] 거길 왜 갔어. 진정하고 내려와. [SEP] 헤어지자는 말 취소해 지금 당장 죽어버리기 전에 말해. [SEP] 알겠어 취소할게.그러니까 옥상에서 내려와. [SEP] 진작에 그랬어야지,갈취 대화,협박 대화
야 야 내일까지 이거 부모님 동의해오라는 거 좀 도와줘라. [SEP] 응? 내가 이걸 어떻게. [SEP] 아 니네부모님 주민번호알아와서 하면 되잖아 [SEP] 우리 부모님 주민번호를 .? [SEP] 어차피 선생님들이 그런 거 다 보는 거 아니고 그냥 성인 보호자 동의만 해오라는 거잖아. [SEP] 그치만. [SEP] 너는 이딴 거 해오라고 안하잖아.아 짜증나네. 말귀 못알아듣냐? [SEP] 그치만.우리부모님 주민번호를 내가 너한테. [SEP] 내가 뭐? 나쁜데 쓴데? 아 진짜 우리엄마아빠는 이런 거 가지고 가면 뭐라한다고 [SEP] 나도 우리 부모님이 싫어하실텐데. [SEP] 학교생활 망치기 싫으면 니가 이거 알아서 처리해라. 내일까지 부모님 번호 알아와,갈취 대화,기타 괴롭힘 대화
야 니 어디사냐? [SEP] 게임에서 그런건 왜 물어보세요 [SEP] 아니 그냥 닥치고 말해라 니 어디사냐고 [SEP] 아니 왜그러냐고요 저 초등학생인데 [SEP] 초등학생? 너 내가 혼쭐 좀 내줘야겠다 빠져가지고는 [SEP] 아 죄송합니다정말 죄송해요 제발. [SEP] 야 전화번호 내놔 안그러면 고소한다 [SEP] 아 제발요 아 제발 [SEP] 안되겠다 닌 니 부모부터 가족까지 니로인해 다 고통받게 해줄게,협박 대화,기타 괴롭힘 대화
당신 아들 목소리 맞지? [SEP] 네. 제 아들 맞아요. 제발 제발 건들지 말아주세요. [SEP] 지금 말하는것만 지키면 된다. [SEP] 뭐든 하겠습니다. [SEP] 2시간 줄테니깐 신촌역 3번출구 앞 농협 기 소화전 옆에 3000만원 놓고가. [SEP] 네? 두 시간이요? [SEP] 두 번 말 안한다. 이 시간이 지나면 너 아들 얼굴 못 볼 줄 알아. [SEP] 제발 제발 제 아들만은 건들지 말아주세요. [SEP] 그럼 약속장소에 당장 돈 들고 오면 되겠네. [SEP] 네.,협박 대화,갈취 대화
당신 손녀를 지금 데리고있다. [SEP] 네? 제 손녀를 데리고 있다고요? [SEP] 그래. 내가 당신 손녀를 데리고 있어. [SEP] 무슨 소리세요 제 손녀를 데리고있다니! [SEP] 당신 손녀를 구하고 싶으면 지금 당장 계좌에 1억을 입금해 [SEP] 1억이라니요 그런 큰 돈 없어요 [SEP] 그럼 손녀를 살리고 싶지 않은건가? [SEP] 아니요 하지만 그렇게 큰돈을 마련할수없어요 제 손녀를 살려주세요 [SEP] 당장 입금하지 않으면 손녀는 죽일 거다 [SEP] 안돼요 무슨말이에요 제 손녀를 건들지 마세요,협박 대화,갈취 대화
자꾸 이렇게 집착해서 전화자꾸하지마 [SEP] 한번만 만날수 없니 딱 한번만 [SEP] 우린 헤어졌는데 뭘 만나 [SEP] 난 아직 아니야 널 사랑해 [SEP] 뭘 사랑해 그런놈이 둘째를 가지냐 [SEP] 그건 나도 술마시고 술김에 모르고 [SEP] 넌 날 그양 즐기는 상대로 만난거니 이제 끝내자 [SEP] 아니야 조금만 기다려주면 이혼하고 정리될거야 [SEP] 그럼 다른사람 찾아봐 난 아니니 [SEP] 한번만 만나줘 내가 설명할께 [SEP] 너 자꾸 이럼 임신한 니 와이프에게 우리 사진보낸다 [SEP] 야 그렇게하면 나도 가만안있어 니 남자친구랑 집에 나도 폭로해버릴거야 [SEP] 그래 이제야 본심 나오네 넌 그런 양아치야 [SEP] 넌 깨끗한줄 아나보네 그래 우리 서로 다밝히고 깨끗히 서로 다시 시작하자 [SEP] 뭘 시작해 양아치야 너 한번만 더 전화하고 찾아오면 널 아는 모든사람이 니가 이런사람이라는걸 알게 해줄께,기타 괴롭힘 대화,협박 대화
다 죽여버리기전에 여기에 돈 담아! [SEP] 꺄악.! 도둑.도둑이야.! [SEP] 당.당신 누구야.! [SEP] 닥치고 돈 담으라고! 다 죽고싶어? 어!? [SEP] 사.사장님.! . [SEP] 우주씨.울.울지말고. 당신 . 일단 좀 진정해봐. [SEP] 진정? 돈 담으라고 진짜 죽고 싶어서 환장했어? 어!? [SEP] 윽.사.사장님.저.저 좀 살려주세요. [SEP] 이 여자 살리고 싶으면 돈 담아. 빨리 안담아!? [SEP] 제발 그 여자부터 풀어줘. 우리 대화로 하자.어.? [SEP] 진짜 이 여자 죽여버리기 전에 입 닥치라고!,협박 대화,갈취 대화
감독님 저 더 이상 시나리오 못짜겠습니다. 대신 그동안 작업해놨는 것을 이어서 다른 사람한테 부탁드릴께요 [SEP] 이유는 뭔가? [SEP] 싸이코가 주인공인 영화시나리오를 짜다 보니 제 정신 상태도 싸이코로 변해가는것 같아서요 [SEP] 자네 나랑 말장난 하나? [SEP] 그것 때문에 아내랑 진판 싸우기도 하고 심지어 부모님조차도 저를 싫어하세요 [SEP] 그리고 [SEP] 그리고 제 자신이 그런 싸이코가 안변하려고 노력하다가 강박증에 걸리기도 하는것 같습니다. [SEP] 그래 알겠다 일하기 싫은거지? 알겠어 넌 10원 짜리도 가져갈 생각도 하지마 [SEP] 감독님. [SEP] 그래 나도 너같은 직원 지금 자른게 다행이지 [SEP] 감독님 정말 너무하세요,기타 괴롭힘 대화,직장 내 괴롭힘 대화
위층이 너무 시끄러워서 왔어요 [SEP] 저희가 시끄러웠다고요? 난 시끄럽게한적없은대 [SEP] 네 오늘이 처음도 아니고 계속 시끄러워서 참다참다가 왔어요 [SEP] 우리가 시끄럽게하면 얼마나 시끄럽다고 저희집까지 찾오셨을까 참을성이 없나보네 [SEP] 저희도 참을만큼 참았죠 근데 정도가 심해지시니까 찾아온거에요 [SEP] 뭐?! 너 지금 말다했어?! [SEP] 어디다 대고 반말이야 응말다했다 [SEP] 너 일로와 내가 어떤사람인줄알고 [SEP] 당신이 뭐어떤사람인데 [SEP] 하 이런 싸가지없는사람을 봤나 죽고싶어?!?,협박 대화,기타 괴롭힘 대화
여보세요? 님 맞으신가요? [SEP] 네 맞는데요? [SEP] 네 저는 청 공무원 입니다. 다름이아니라 기초수급자 선정기준이 바뀌어서 어르신도 혜택을 받으실 수 있게 되었어요 [SEP] 어이구 감사합니다 [SEP] 주민등록증만 저희 쪽으로 보내주시면 바로 등록해드릴게요. [SEP] 예 그려요 어떻게 보내면 되는거죠? [SEP] 저희가 집으로 방문하거나 인근 편의점에 맡겨주시면 직원이 가서 찾아가겠습니다 [SEP] 네. 근데 보이스피싱 아니죠? [SEP] 저희는 어르신들 생각해서 연락드린 거예요. 모든 어르신들께 혜택을 드릴 수 없어서 전화 끊으시면 순위가 밀려나세요 [SEP] 네 알겠습니다.,갈취 대화,기타 괴롭힘 대화
아니 직원들 월급을 그렇게 많이 가져가시면. [SEP] 자네 불만있으면 나가시게 [SEP] 그럼 노력의 대가를 정당하게 다 받고 나가겠습니다. [SEP] 싫다면 [SEP] 아니 사장님! [SEP] 원래 절이 싫으면 중이 떠나는 거야 [SEP] 사장님 여긴 절이 아니라 직장이 잖아요 [SEP] 그래서 [SEP] 뺏어간 돈 저희 것이기도 해요 [SEP] 애초에 내 회사 아니었다면 그 돈도 못만들었어 경호팀 이 자식들 끌어내,갈취 대화,직장 내 괴롭힘 대화
너 올해 몇살이지? [SEP] 00살이요. [SEP] 야 너 안되겠다. 빨리 결혼해야겠네. [SEP] 아직은 경제적으로도 그렇고 여러가지로 준비가 안되어서요. [SEP] 음. 너는 공무원이랑 결혼해야해. [SEP] 안정적인 직업인 사람은 비슷하게 안정적인 사람 만나고 싶어하지 않을까요? [SEP] 아니야. 안그래. [SEP] 아.네 [SEP] 뭐 어디 재벌같은 대단한집안이랑 결혼하려고 결혼 안하는건 아니지? [SEP] 그럴리가요.,기타 괴롭힘 대화,직장 내 괴롭힘 대화
왜 쳐다봐? [SEP] 네 제가요? [SEP] 응 너가 나 쳐다봐서 나 지금 굉장히 심리적으로 불안해졌어 [SEP] 무슨말씀이신지. [SEP] 너가 나 쳐다봐서 나 지금 심리적으로도 불안해지고 손도 떨리고 그렇다고 [SEP] 전 안쳐다봤어요 [SEP] 아니 내가 쳐다봤다면 본거지 자꾸 이상한 소리해. 나랑 같이 경찰서랑 병원 가자. 보상받아야겠어 [SEP] 저기요. 전 당신 쳐다본적도 없어요. [SEP] 지금 내 떨리는 눈동자와 손 어떻게 해결할꺼야? 뭘로 보상해줄래? [SEP] 죄송한데 저한테 왜이러시는거예요,갈취 대화,협박 대화
여보 이거는 우리애 돌반지잖아요 [SEP] 그게왜? [SEP] 이거는 가져가지 말아요 [SEP] 지금 서방이 죽게 생겼는데 애반지가 문제야? [SEP] 제발요 [SEP] 이거 안가져가면 나 손가락 썰린다고! 니가 나대신 손가락이라도 내줄거야? [SEP] 다른 방법을 찾아봐요 우리 [SEP] 다른 방법같은건 없어 자꾸 그렇게 막아서면 내가 니 손가락 가져간다 [SEP] 너무 무서워요 여보 제발 그러지 마요 [SEP] 손가락을 내놓던지 돌반지를 내놓던지 그러란말야! 몇푼이나 한다고 이게 내 목숨값보다 중요해? [SEP] 여보. [SEP] 비켜!,갈취 대화,협박 대화
여보세요 거기 청소업체죠? [SEP] 네 말씀하세요 [SEP] 아니 일처리를 이렇게 하고 가면 어떻게 합니까! [SEP] 무슨 말씀이세요? 깔끔하게 뒷정리도 하고 갔는데요. [SEP] 짜증나게하네! 베란다에 있는건 뭐죠? [SEP] 그거는 저희가 가지고온게 아닙니다 [SEP] 청소부면 이런것도 가지고 가야 하는거 아니에요? [SEP] 그건 저희의 의무가 아닙니다 사모님 [SEP] 이러니 청소부나 하고 있지! 돈 입금 못합니다! [SEP] 사모님 그래도 이건 아닌거 같아요.,기타 괴롭힘 대화,갈취 대화
너 이렇게 나와서 아침마다 탕비실 청소하는 이유가 뭐야? [SEP] 응? 깨끗하면 좋잖아 [SEP] 너때문에 우리는? [SEP] 그게 무슨말이야? [SEP] 니가 아침마다 일 없는 백수마냥 나와서 청소하니까 윗분들이 좋게보시더라? [SEP] 아. 아니 집도 가깝고 그래서 [SEP] 일부러 그러니? 이쁨 받고 싶어서? 가지가지한다 [SEP] 그런건 아니야 정말 [SEP] 아니긴 집이 좀 어렵다더니 아주 그냥 이회사에 뼈까지 묻을 생각인가봐? [SEP] 오해야. 불편하게 했다면 미안해,직장 내 괴롭힘 대화,기타 괴롭힘 대화
봉투 필요하세요? [SEP] 그럼? [SEP] 네? [SEP] 아니 그럼 봉투안주려고했어? [SEP] 아니요. [SEP] 내가 그럼 이걸 머리고 이고갈까? [SEP] .아닙니다. [SEP] 아휴 답답해서리 얼른 봉투나 줘 [SEP] 죄송합니다. [SEP] 일머리 없어서 쯧,기타 괴롭힘 대화,직장 내 괴롭힘 대화
