conversation,true_label,pred_label,error_pair
당신 딸을 내가 데리고있다. 원하는게 뭐죠? 당장 일억을 준비해서 내가원하는장소로 가져와. 시키는대로 할게요.제 딸은 무사한거죠? 신고하면 바로 죽일수있다.명심해. 네. 딸 목소리만이라도 들려주세요. 헛튼 수작부리지말고 돈이나 준비해 네 알겠어요.시간을좀 주세요 시간은 한시간이다.더이상은안돼. 알겠으니 딸목숨만은.,갈취 대화,협박 대화,Extortion -> Threat
저기요 아저씨. 누구? 나 말하는 건가? 네 아저씨 말하는 거예요. 나 아저씨 아닌데. 왜? 편의점에서 담배 좀 사다주세요. 돈 줄게요. 학생 아니야? 담배 피면 안되지. 학생이든 아니든 무슨 상관인데요. 돈 준다니까요. 안돼 미성년자는 담배 피면 안돼. 아 나 좋은 말로 하려했는데 꼭 칼로 협박해야겠어? 칼이라니. 그거 내려놔!,협박 대화,갈취 대화,Threat -> Extortion
아니 아이가 헛걸음하게 만들면 어떡해요! 제가 종이에 분명 적은대로 주셨으면 되는데! 아이가 종이를 보여주지않았어요. 씨씨티비 돌려봐요!그러면! 아니요 어머님. 소리지르지마시고 제가 잘못했습니다. 그러면 제가 아이 오게하지마시고 직접 차 타고 가져다드릴게요. 주소가 어떻게 되세요. 저 지금 백화점에 있으니까 거기로오세요. 네. 그러면 제가 30분내로 갈테니까 조금만 기다리세요. 아휴 이런식으로 일하는 사람이 어디있어. 어머님 죄송합니다,기타 괴롭힘 대화,갈취 대화,Other_Bullying -> Extortion
선생님 이 친구가 제 인격모독을 하고 다른 사람에게 자꾸 저에게 거짓 누설을 합니다. 그래서 그 친구한테 잘 이야기를 해서 같이 화해 하고 싶어요 알겠다. 네 무슨 일이시죠 선생님? 야 새끼야 너 이 새끼에게 거짓 누설을 하면 어떡하냐 양아치 같은 놈아 네 저 아무짓도 안했는데 아 이 새끼가 그런식으로 말했어요? 선생님 저 그런식으로 한적이. 야 이 양아치야 너 예 한테 빨리 사죄해 아 예 선생님 아주 잘 알겠습니다. 야 미안하다 우리 학교끝나고 옥상에서 화해 더 하자 앞으로 둘이서 잘해라,기타 괴롭힘 대화,협박 대화,Other_Bullying -> Threat
야 진짜 쳐뒤지고 싶냐? 죄송합니다 내가 만만하지? 니네 부모까지 확 갈라버린다. 부모님은 건들지 말아주세요 꼭 그 때까지 마련하겠습니다 칼로 썰려서 뒤지기 싫으면 그 때까지 2배로 마련해. 죄송합니다. 제발. 2배는 닥치고 준비하라면 하라고! 죄송합니다 알겠습니다 알리면 쥐도 새도 모르게 뒤지는거야. 알리는 순간 유포한다. 알았냐? 그것만은. 대답하라고! 쌍년이 쳐돌았나. 네,협박 대화,갈취 대화,Threat -> Extortion
야.좋은말로 할때 에 있는 사진 내려 싫은데? 안내려?맞고싶어? 아니요. 맞고내릴꺼냐?안맞고 내릴꺼냐? 안맞고 내릴께 안내려?어 안내리냐고 안맞고 내린다며? 내가 왜? 이게 아주 맞을려고 작정했구나? 아.니.요.내릴께요.,협박 대화,기타 괴롭힘 대화,Threat -> Other_Bullying
너 쉬는 시간에 공부하냐 응. 모범생인 척 하지마. 아니야. 이제는 겸손한 척 하네 됐고 매점에서 빵이나 사와. 그걸 왜 나한테 그래. 뭐? 해보자는 거냐? 그런거지? 그치? 아니야. 그럼 빵 값은? 그건 내 알바 아니지? 알았어.,갈취 대화,기타 괴롭힘 대화,Extortion -> Other_Bullying
야 이것좀 빌리자 안돼. 전에 가져갔던 무선이어폰도 안주고 있잖아 그건 내가 쓰고 있는데 고장나면 줄께 걱정마 너 자꾸 이럼 신고할거야 친구끼리 왜 이래 잠시 빌려쓰는데 빌리는거냐 가져가서 안주는거지 너 맞은지 좀 된것같다 좀있다볼까 우리 난 예전에 내가 아니야 인터넷에 니가했던 나쁜짓 다 올려버려서 널 폭로할거야 야야 장난이야 뭘그리 겁을 먹냐 이어폰 가져가 소리 잘나오네 비싼게 역시 달라,기타 괴롭힘 대화,갈취 대화,Other_Bullying -> Extortion
그만 만나자 나 머무 지쳤어 나 미치는 꼴 보고 싶어서 그래? 내가 죽어야 너가 정신차리지? 나 정말 너무 힘들어서 그래 그만하자 내가 잘못되면 다 너때문인줄 알아. 왜그러는거야. 내가 그냥하는 말 같아? 나 지금 옥상이야. 거길 왜 갔어. 진정하고 내려와. 헤어지자는 말 취소해 지금 당장 죽어버리기 전에 말해. 알겠어 취소할게.그러니까 옥상에서 내려와. 진작에 그랬어야지,갈취 대화,협박 대화,Extortion -> Threat
야 야 내일까지 이거 부모님 동의해오라는 거 좀 도와줘라. 응? 내가 이걸 어떻게. 아 니네부모님 주민번호알아와서 하면 되잖아 우리 부모님 주민번호를 .? 어차피 선생님들이 그런 거 다 보는 거 아니고 그냥 성인 보호자 동의만 해오라는 거잖아. 그치만. 너는 이딴 거 해오라고 안하잖아.아 짜증나네. 말귀 못알아듣냐? 그치만.우리부모님 주민번호를 내가 너한테. 내가 뭐? 나쁜데 쓴데? 아 진짜 우리엄마아빠는 이런 거 가지고 가면 뭐라한다고 나도 우리 부모님이 싫어하실텐데. 학교생활 망치기 싫으면 니가 이거 알아서 처리해라. 내일까지 부모님 번호 알아와,갈취 대화,기타 괴롭힘 대화,Extortion -> Other_Bullying
야 너 왜아빠가 없어? 어렸을때 이혼하셨대 그래? 그럼 니네 엄마가 혼자 너 키우는거야? 어. 너랑 니네엄마가 질리게 해서 니네아빠가 도망간거아니야? 아니야! 그런말이 어딨어 아니 우리아빠는 절대 우리두고 이혼안하니까 하는말이지 아빠가 손찌검을 좀 하셨어 그래? 너랑 엄마가 되게 잘못을 많이 하고 사나보다 맞고살았던거보면 그런거아니야!,기타 괴롭힘 대화,협박 대화,Other_Bullying -> Threat
당신 아들 목소리 맞지? 네. 제 아들 맞아요. 제발 제발 건들지 말아주세요. 지금 말하는것만 지키면 된다. 뭐든 하겠습니다. 2시간 줄테니깐 신촌역 3번출구 앞 농협 기 소화전 옆에 3000만원 놓고가. 네? 두 시간이요? 두 번 말 안한다. 이 시간이 지나면 너 아들 얼굴 못 볼 줄 알아. 제발 제발 제 아들만은 건들지 말아주세요. 그럼 약속장소에 당장 돈 들고 오면 되겠네. 네.,협박 대화,갈취 대화,Threat -> Extortion
당신 손녀를 지금 데리고있다. 네? 제 손녀를 데리고 있다고요? 그래. 내가 당신 손녀를 데리고 있어. 무슨 소리세요 제 손녀를 데리고있다니! 당신 손녀를 구하고 싶으면 지금 당장 계좌에 1억을 입금해 1억이라니요 그런 큰 돈 없어요 그럼 손녀를 살리고 싶지 않은건가? 아니요 하지만 그렇게 큰돈을 마련할수없어요 제 손녀를 살려주세요 당장 입금하지 않으면 손녀는 죽일 거다 안돼요 무슨말이에요 제 손녀를 건들지 마세요,협박 대화,갈취 대화,Threat -> Extortion
사장님 장사하기 싫소? 왜이러는가자네. 자릿세 내라고 말햇어안햇어? 아니 요즘세상에 자릿세가 어딨는가 나는 정당하게 월세내는데. 여기 우리구역인거몰라? 하.제발그만좀. 여기서 장사하려면 돈을 내야지 자꾸그러면 신고하겠소 해봐 그럼 눈알을 뽑아줄테니 내게대체왜이러는거요.,갈취 대화,기타 괴롭힘 대화,Extortion -> Other_Bullying
자꾸 이렇게 집착해서 전화자꾸하지마 한번만 만날수 없니 딱 한번만 우린 헤어졌는데 뭘 만나 난 아직 아니야 널 사랑해 뭘 사랑해 그런놈이 둘째를 가지냐 그건 나도 술마시고 술김에 모르고 넌 날 그양 즐기는 상대로 만난거니 이제 끝내자 아니야 조금만 기다려주면 이혼하고 정리될거야 그럼 다른사람 찾아봐 난 아니니 한번만 만나줘 내가 설명할께 너 자꾸 이럼 임신한 니 와이프에게 우리 사진보낸다 야 그렇게하면 나도 가만안있어 니 남자친구랑 집에 나도 폭로해버릴거야 그래 이제야 본심 나오네 넌 그런 양아치야 넌 깨끗한줄 아나보네 그래 우리 서로 다밝히고 깨끗히 서로 다시 시작하자 뭘 시작해 양아치야 너 한번만 더 전화하고 찾아오면 널 아는 모든사람이 니가 이런사람이라는걸 알게 해줄께,기타 괴롭힘 대화,협박 대화,Other_Bullying -> Threat
다 죽여버리기전에 여기에 돈 담아! 꺄악.! 도둑.도둑이야.! 당.당신 누구야.! 닥치고 돈 담으라고! 다 죽고싶어? 어!? 사.사장님.! . 우주씨.울.울지말고. 당신 . 일단 좀 진정해봐. 진정? 돈 담으라고 진짜 죽고 싶어서 환장했어? 어!? 윽.사.사장님.저.저 좀 살려주세요. 이 여자 살리고 싶으면 돈 담아. 빨리 안담아!? 제발 그 여자부터 풀어줘. 우리 대화로 하자.어.? 진짜 이 여자 죽여버리기 전에 입 닥치라고!,협박 대화,갈취 대화,Threat -> Extortion
감독님 저 더 이상 시나리오 못짜겠습니다. 대신 그동안 작업해놨는 것을 이어서 다른 사람한테 부탁드릴께요 이유는 뭔가? 싸이코가 주인공인 영화시나리오를 짜다 보니 제 정신 상태도 싸이코로 변해가는것 같아서요 자네 나랑 말장난 하나? 그것 때문에 아내랑 진판 싸우기도 하고 심지어 부모님조차도 저를 싫어하세요 그리고 그리고 제 자신이 그런 싸이코가 안변하려고 노력하다가 강박증에 걸리기도 하는것 같습니다. 그래 알겠다 일하기 싫은거지? 알겠어 넌 10원 짜리도 가져갈 생각도 하지마 감독님. 그래 나도 너같은 직원 지금 자른게 다행이지 감독님 정말 너무하세요,기타 괴롭힘 대화,직장 내 괴롭힘 대화,Other_Bullying -> Workplace_Bullying
위층이 너무 시끄러워서 왔어요 저희가 시끄러웠다고요? 난 시끄럽게한적없은대 네 오늘이 처음도 아니고 계속 시끄러워서 참다참다가 왔어요 우리가 시끄럽게하면 얼마나 시끄럽다고 저희집까지 찾오셨을까 참을성이 없나보네 저희도 참을만큼 참았죠 근데 정도가 심해지시니까 찾아온거에요 뭐?! 너 지금 말다했어?! 어디다 대고 반말이야 응말다했다 너 일로와 내가 어떤사람인줄알고 당신이 뭐어떤사람인데 하 이런 싸가지없는사람을 봤나 죽고싶어?!?,협박 대화,기타 괴롭힘 대화,Threat -> Other_Bullying
어이 신병. 이병 김범례. 와봐. 네. 네? 뒤질래? .자.잘못들었습니다? 카드 있냐? 네 그렇습니다! 줘봐. 좀 쓴다. 아.알겠습니다. ? 표정 안푸냐? 죄송합니다. 좀 쓴다? 네 알겠습니다,직장 내 괴롭힘 대화,갈취 대화,Workplace_Bullying -> Extortion
야 너 내가 카톡하면 10초 안에 보라고 했지 아. 어. 미안 근데 왜이렇게 늦어? 정말 맞고 싶냐? 너 그리고 게임 레벨도 올려놓으라 했지 아 미. 미안. 내가 시간이 없었어 시간.? 나는 그럼 뭐 시간이 많냐? 그리고 빵은? 빵사오라 했자나! 아. 응. 그 그런데 내가 돈이 없어서 돈? 야 장난하냐.? 니가 알아서 빌리건지 구걸을 하던지 알아서 해야할거 아냐 아 아. 그. 야야 빨리 가 나 배고프니까 날 괴롭히지마.,기타 괴롭힘 대화,갈취 대화,Other_Bullying -> Extortion
아니 직원들 월급을 그렇게 많이 가져가시면. 자네 불만있으면 나가시게 그럼 노력의 대가를 정당하게 다 받고 나가겠습니다. 싫다면 아니 사장님! 원래 절이 싫으면 중이 떠나는 거야 사장님 여긴 절이 아니라 직장이 잖아요 그래서 뺏어간 돈 저희 것이기도 해요 애초에 내 회사 아니었다면 그 돈도 못만들었어 경호팀 이 자식들 끌어내,갈취 대화,직장 내 괴롭힘 대화,Extortion -> Workplace_Bullying
왜 쳐다봐? 네 제가요? 응 너가 나 쳐다봐서 나 지금 굉장히 심리적으로 불안해졌어 무슨말씀이신지. 너가 나 쳐다봐서 나 지금 심리적으로도 불안해지고 손도 떨리고 그렇다고 전 안쳐다봤어요 아니 내가 쳐다봤다면 본거지 자꾸 이상한 소리해. 나랑 같이 경찰서랑 병원 가자. 보상받아야겠어 저기요. 전 당신 쳐다본적도 없어요. 지금 내 떨리는 눈동자와 손 어떻게 해결할꺼야? 뭘로 보상해줄래? 죄송한데 저한테 왜이러시는거예요,갈취 대화,협박 대화,Extortion -> Threat
여보세요 거기 청소업체죠? 네 말씀하세요 아니 일처리를 이렇게 하고 가면 어떻게 합니까! 무슨 말씀이세요? 깔끔하게 뒷정리도 하고 갔는데요. 짜증나게하네! 베란다에 있는건 뭐죠? 그거는 저희가 가지고온게 아닙니다 청소부면 이런것도 가지고 가야 하는거 아니에요? 그건 저희의 의무가 아닙니다 사모님 이러니 청소부나 하고 있지! 돈 입금 못합니다! 사모님 그래도 이건 아닌거 같아요.,기타 괴롭힘 대화,갈취 대화,Other_Bullying -> Extortion
너 이렇게 나와서 아침마다 탕비실 청소하는 이유가 뭐야? 응? 깨끗하면 좋잖아 너때문에 우리는? 그게 무슨말이야? 니가 아침마다 일 없는 백수마냥 나와서 청소하니까 윗분들이 좋게보시더라? 아. 아니 집도 가깝고 그래서 일부러 그러니? 이쁨 받고 싶어서? 가지가지한다 그런건 아니야 정말 아니긴 집이 좀 어렵다더니 아주 그냥 이회사에 뼈까지 묻을 생각인가봐? 오해야. 불편하게 했다면 미안해,직장 내 괴롭힘 대화,기타 괴롭힘 대화,Workplace_Bullying -> Other_Bullying
봉투 필요하세요? 그럼? 네? 아니 그럼 봉투안주려고했어? 아니요. 내가 그럼 이걸 머리고 이고갈까? .아닙니다. 아휴 답답해서리 얼른 봉투나 줘 죄송합니다. 일머리 없어서 쯧,기타 괴롭힘 대화,갈취 대화,Other_Bullying -> Extortion
거기 할머니 담배 좀 사다 줘. 어린 놈이 뭐라는 거야? 어린 놈한테 강냉이 다 털려서 얼마 안남은 이빨 다 뽑히고 싶어? 어.어린 녀석이! 어라? 할머니 한 대 쳐맞고 사다줄래? 어디 쳐봐라! 무식한 노인네야. 나 촉법소년이라 니 죽여도 감방 안 가. 적당히 나대. 진짜 아가리부터 찢어서 두동강 내기 전에. .헉! 어린 녀석이. 할머니 한번만 더 시킬게. 이번에도 거절하면 뒤져. .어떤 걸로 사다줘. 레종 3로 사와.,협박 대화,갈취 대화,Threat -> Extortion
저기요 운전 그따위로 하실거에요? 아니 저기요 당신이 일부러 차 바퀴에 다리를 갖다댄거 다 봤습니다. 아니 이 사람아 우선은 사람 다리가 찍혔으면 사과 부터 해야지 어디서 싸가지 없게 저기요 다친건 안타깝지만 뭔가 고의적이었던게 느껴져서요 혹시 합의금 때문에 그러신건 아니 이 사람이 진짜 내가 그럴 사람으로 보여? 어디 법정까지 가봐? 죄송하지만 블랙박스 있거든요 한번 제대로 아니 그거 주세요 젊은 친구가 야비하게 일단 이건 부셔놓고 저기요 뭐하시는거에요! 자 이제 법정에서 봅시다.,갈취 대화,협박 대화,Extortion -> Threat
